"","term","statistic","df","p.value"
"1","(Intercept)",5.90415373814556,1,0.0151052210212828
"2","treatment",0.236815024981765,1,0.626515994919814
"3","month",108.995987880662,4,1.19151425383427e-22
"4","treatment:month",164.032240503341,4,1.99532654562507e-34
