id,plot,block,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,accumulatedCov,speciesRichness,shannon
L1_13_2020,L1_13,1,4,south,land,4,0,30,3,dry_grassland,4,2020,85,Jakob Huber,99,14,1.135895797
L1_13_2021,L1_13,1,4,south,land,4,0,30,3,dry_grassland,4,2021,80,Markus Bauer,93,20,1.777664623
L1_14_2018,L1_14,1,4,south,land,4,0,30,2,hay_meadow,8,2018,60,Jakob Huber,63,8,0.705871875
L1_14_2019,L1_14,1,4,south,land,4,0,30,2,hay_meadow,8,2019,80,Linda Weggler,80.5,15,1.621530686
L1_14_2020,L1_14,1,4,south,land,4,0,30,2,hay_meadow,8,2020,80,Jakob Huber,100,19,1.515369204
L1_14_2021,L1_14,1,4,south,land,4,0,30,2,hay_meadow,8,2021,90,Markus Bauer,104,19,1.912786821
L1_15_2018,L1_15,1,4,south,land,4,0,30,4,dry_grassland,8,2018,75,Jakob Huber,75.5,3,0.283135532
L1_15_2019,L1_15,1,4,south,land,4,0,30,4,dry_grassland,8,2019,70,Linda Weggler,67.5,18,1.548752576
L1_15_2020,L1_15,1,4,south,land,4,0,30,4,dry_grassland,8,2020,55,Jakob Huber,62.5,19,1.775251558
L1_15_2021,L1_15,1,4,south,land,4,0,30,4,dry_grassland,8,2021,90,Markus Bauer,96.5,16,1.681084705
L1_16_2018,L1_16,1,4,south,land,4,0,30,1,hay_meadow,4,2018,50,Jakob Huber,51.5,5,0.756762111
L1_16_2019,L1_16,1,4,south,land,4,0,30,1,hay_meadow,4,2019,80,Linda Weggler,77,14,1.421490457
L1_16_2020,L1_16,1,4,south,land,4,0,30,1,hay_meadow,4,2020,75,Jakob Huber,78.5,12,1.587928138
L1_16_2021,L1_16,1,4,south,land,4,0,30,1,hay_meadow,4,2021,90,Markus Bauer,103.5,19,1.523074752
L1_17_2018,L1_17,1,4,south,land,5,25,30,1,hay_meadow,4,2018,60,Jakob Huber,62.5,6,0.232321664
L1_17_2019,L1_17,1,4,south,land,5,25,30,1,hay_meadow,4,2019,70,Linda Weggler,67.5,14,1.436325778
L1_17_2020,L1_17,1,4,south,land,5,25,30,1,hay_meadow,4,2020,70,Jakob Huber,87.5,22,1.785911579
L1_17_2021,L1_17,1,4,south,land,5,25,30,1,hay_meadow,4,2021,80,Markus Bauer,78.5,16,1.841310819
L1_18_2018,L1_18,1,4,south,land,5,25,30,3,dry_grassland,4,2018,50,Jakob Huber,63,8,0.705871875
L1_18_2019,L1_18,1,4,south,land,5,25,30,3,dry_grassland,4,2019,80,Linda Weggler,82,19,1.548787612
L1_18_2020,L1_18,1,4,south,land,5,25,30,3,dry_grassland,4,2020,70,Jakob Huber,67.5,17,1.206509884
L1_18_2021,L1_18,1,4,south,land,5,25,30,3,dry_grassland,4,2021,80,Markus Bauer,92,17,1.914320761
L1_19_2018,L1_19,1,4,south,land,5,25,30,4,dry_grassland,8,2018,50,Jakob Huber,52.5,6,0.268083983
L1_19_2019,L1_19,1,4,south,land,5,25,30,4,dry_grassland,8,2019,80,Linda Weggler,81.5,16,1.644227847
L1_19_2020,L1_19,1,4,south,land,5,25,30,4,dry_grassland,8,2020,75,Jakob Huber,92,15,1.429295156
L1_19_2021,L1_19,1,4,south,land,5,25,30,4,dry_grassland,8,2021,90,Markus Bauer,109,12,1.692866923
L1_20_2018,L1_20,1,4,south,land,5,25,30,2,hay_meadow,8,2018,50,Jakob Huber,50.5,2,0.055546075
L1_20_2019,L1_20,1,4,south,land,5,25,30,2,hay_meadow,8,2019,80,Linda Weggler,87,12,1.195312909
L1_20_2020,L1_20,1,4,south,land,5,25,30,2,hay_meadow,8,2020,75,Jakob Huber,90,18,1.660172113
L1_20_2021,L1_20,1,4,south,land,5,25,30,2,hay_meadow,8,2021,80,Markus Bauer,89.5,16,1.980446729
L1_21_2018,L1_21,1,4,south,land,6,50,30,2,hay_meadow,8,2018,30,Jakob Huber,35,9,1.046035547
L1_21_2019,L1_21,1,4,south,land,6,50,30,2,hay_meadow,8,2019,60,Linda Weggler,60,13,1.17496985
L1_21_2020,L1_21,1,4,south,land,6,50,30,2,hay_meadow,8,2020,70,Jakob Huber,77.5,15,1.407443621
L1_21_2021,L1_21,1,4,south,land,6,50,30,2,hay_meadow,8,2021,90,Markus Bauer,92,24,2.483521736
L1_22_2018,L1_22,1,4,south,land,6,50,30,4,dry_grassland,8,2018,65,Jakob Huber,63,8,0.549943088
L1_22_2019,L1_22,1,4,south,land,6,50,30,4,dry_grassland,8,2019,60,Linda Weggler,57.5,13,1.344186736
L1_22_2020,L1_22,1,4,south,land,6,50,30,4,dry_grassland,8,2020,70,Jakob Huber,75.5,14,1.984789344
L1_22_2021,L1_22,1,4,south,land,6,50,30,4,dry_grassland,8,2021,90,Markus Bauer,106,19,2.049396362
L1_23_2018,L1_23,1,4,south,land,6,50,30,1,hay_meadow,4,2018,60,Jakob Huber,61.5,5,0.581032615
L1_23_2019,L1_23,1,4,south,land,6,50,30,1,hay_meadow,4,2019,60,Linda Weggler,58.5,8,1.267249219
L1_23_2020,L1_23,1,4,south,land,6,50,30,1,hay_meadow,4,2020,75,Jakob Huber,75,16,2.010514557
L1_23_2021,L1_23,1,4,south,land,6,50,30,1,hay_meadow,4,2021,90,Markus Bauer,94.5,15,2.060206975
L1_24_2018,L1_24,1,4,south,land,6,50,30,3,dry_grassland,4,2018,60,Jakob Huber,64.5,8,0.782472548
L1_24_2019,L1_24,1,4,south,land,6,50,30,3,dry_grassland,4,2019,80,Linda Weggler,80.5,9,0.931155531
L1_24_2020,L1_24,1,4,south,land,6,50,30,3,dry_grassland,4,2020,85,Jakob Huber,95,13,0.888363694
L1_24_2021,L1_24,1,4,south,land,6,50,30,3,dry_grassland,4,2021,90,Markus Bauer,100,19,1.7866163
L2_01_2018,L2_01,2,4,south,land,1,0,15,2,hay_meadow,8,2018,45,Jakob Huber,45,8,0.543061801
L2_01_2019,L2_01,2,4,south,land,1,0,15,2,hay_meadow,8,2019,60,Linda Weggler,59,16,1.45639886
L2_01_2020,L2_01,2,4,south,land,1,0,15,2,hay_meadow,8,2020,50,Jakob Huber,58,17,2.218089638
L2_01_2021,L2_01,2,4,south,land,1,0,15,2,hay_meadow,8,2021,50,Markus Bauer,56,18,2.64872078
L2_02_2018,L2_02,2,4,south,land,1,0,15,4,dry_grassland,8,2018,55,Jakob Huber,55.5,7,0.463876369
L2_02_2019,L2_02,2,4,south,land,1,0,15,4,dry_grassland,8,2019,60,Linda Weggler,62,12,1.237594598
L2_02_2020,L2_02,2,4,south,land,1,0,15,4,dry_grassland,8,2020,55,Jakob Huber,67.5,20,1.247585273
L2_02_2021,L2_02,2,4,south,land,1,0,15,4,dry_grassland,8,2021,50,Markus Bauer,53.5,12,1.956497196
L2_03_2018,L2_03,2,4,south,land,1,0,15,1,hay_meadow,4,2018,65,Jakob Huber,71,4,0.488125265
L2_03_2019,L2_03,2,4,south,land,1,0,15,1,hay_meadow,4,2019,60,Linda Weggler,57,17,1.484247167
L2_03_2020,L2_03,2,4,south,land,1,0,15,1,hay_meadow,4,2020,70,Jakob Huber,67.5,22,2.103141312
L2_03_2021,L2_03,2,4,south,land,1,0,15,1,hay_meadow,4,2021,80,Markus Bauer,94.5,19,2.292505944
L2_04_2018,L2_04,2,4,south,land,1,0,15,3,dry_grassland,4,2018,40,Jakob Huber,41.5,5,0.737210256
L2_04_2019,L2_04,2,4,south,land,1,0,15,3,dry_grassland,4,2019,70,Linda Weggler,72,16,1.601066727
