id,plot,block,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,botanist,accumulatedCov,speciesRichness,shannon,surveyYearF,botanistYear
L1_12_2019,L1_12,1,3,50,15,4,dry_grassland,8,2019,Linda_Weggler,93.5,11,0.804340308,2019,Linda_Weggler2019
L1_12_2020,L1_12,1,3,50,15,4,dry_grassland,8,2020,Jakob_Huber,91.5,13,1.220044397,2020,Jakob_Huber2020
L1_12_2021,L1_12,1,3,50,15,4,dry_grassland,8,2021,Markus_Bauer,109.5,9,1.364145895,2021,Markus_Bauer2021
L1_13_2018,L1_13,1,4,0,30,3,dry_grassland,4,2018,Jakob_Huber,78,7,0.472864668,2018,Jakob_Huber2018
L1_13_2019,L1_13,1,4,0,30,3,dry_grassland,4,2019,Linda_Weggler,78,11,1.368268259,2019,Linda_Weggler2019
L1_13_2020,L1_13,1,4,0,30,3,dry_grassland,4,2020,Jakob_Huber,99,14,1.135895797,2020,Jakob_Huber2020
L1_13_2021,L1_13,1,4,0,30,3,dry_grassland,4,2021,Markus_Bauer,93,20,1.777664623,2021,Markus_Bauer2021
L1_14_2018,L1_14,1,4,0,30,2,hay_meadow,8,2018,Jakob_Huber,63,8,0.705871875,2018,Jakob_Huber2018
L1_14_2019,L1_14,1,4,0,30,2,hay_meadow,8,2019,Linda_Weggler,80.5,15,1.621530686,2019,Linda_Weggler2019
L1_14_2020,L1_14,1,4,0,30,2,hay_meadow,8,2020,Jakob_Huber,100,19,1.515369204,2020,Jakob_Huber2020
L1_14_2021,L1_14,1,4,0,30,2,hay_meadow,8,2021,Markus_Bauer,104,19,1.912786821,2021,Markus_Bauer2021
L1_15_2018,L1_15,1,4,0,30,4,dry_grassland,8,2018,Jakob_Huber,75.5,3,0.283135532,2018,Jakob_Huber2018
L1_15_2019,L1_15,1,4,0,30,4,dry_grassland,8,2019,Linda_Weggler,67.5,18,1.548752576,2019,Linda_Weggler2019
